Model,Accuracy,AUC,Precision,Recall,F1 Score,MCC
Logistic Regression,0.901249585314608,0.9054433347971681,0.643979057591623,0.3487712665406427,0.45248313917841815,0.42644597941367
Decision Tree,0.8729403958863209,0.7017478424219324,0.4587488667271079,0.4782608695652174,0.46830171217029154,0.39629736181102304
KNN,0.8936193741015149,0.8083685975476229,0.5860215053763441,0.30907372400756145,0.40470297029702973,0.3742134073570698
Naive Bayes,0.8638726086475728,0.8088133113481918,0.42821576763485475,0.4877126654064272,0.45603181617322136,0.3796553346420521
Random Forest,0.9044564856795311,0.9271974981445598,0.655448717948718,0.38657844990548207,0.4863258026159334,0.45608037914285554
XGBoost,0.907995134358067,0.9290581465957555,0.6348448687350835,0.502835538752363,0.5611814345991561,0.514893614085932
